tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,Treatment,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,MeanEmergence,FocalSpecies,OtherSp,Temp,Parasitism,MeanGenTime,BIR_L,PAL_L,PAN_L,PSA_L,SIM_L,SUL_L,ObsGrRate,ObsCount_Pairs,Sp1_Dens,BIR,PAL,PAN,PSA,SIM,SUL,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
1472,0,0,0,0,17,0,Sp1,Hot Para,0,0,9,0,3,0,4.068080521258439,SIM,PAN,Hot,Para,11.06808052125844,0,0,0.6659388918527422,0,1.1702892609533346,0,1.1702892609533346,17,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,3,9
1472,0,0,14,0,0,0,Sp2,Hot Para,0,0,9,0,3,0,3.6769438033439625,PAN,SIM,Hot,Para,10.676943803343963,0,0,1.0429451334777677,0,0.7271988392280736,0,1.0429451334777677,14,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,9,3
1473,0,0,0,0,16.5,0,Sp1,Hot Para,0,0,9,0,3,0,4.068080521258439,SIM,PAN,Hot,Para,11.06808052125844,0,0,0.6659388918527422,0,1.1671556809047945,0,1.1671556809047945,16.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,3,9
1473,0,0,22,0,0,0,Sp2,Hot Para,0,0,9,0,3,0,3.6769438033439625,PAN,SIM,Hot,Para,10.676943803343963,0,0,1.0877806610257046,0,0.7271988392280736,0,1.0877806610257046,22,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,9,3
1476,0,0,0,0,27,0,Sp1,Hot Para,0,0,9,0,3,0,4.068080521258439,SIM,PAN,Hot,Para,11.06808052125844,0,0,0.6659388918527422,0,1.220002658995452,0,1.220002658995452,27,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,3,9
1476,0,0,25,0,0,0,Sp2,Hot Para,0,0,9,0,3,0,3.6769438033439625,PAN,SIM,Hot,Para,10.676943803343963,0,0,1.1008267660199633,0,0.7271988392280736,0,1.1008267660199633,25,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,9,3
1483,0,0,0,0,13,0,Sp1,Hot Para,0,0,12,0,3,0,4.3830162951613,SIM,PAN,Hot,Para,11.383016295161301,0,0,0.6566645307847337,0,1.138249045014878,0,1.138249045014878,13,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,3,12
1483,0,0,19,0,0,0,Sp2,Hot Para,0,0,12,0,3,0,3.88511541211558,PAN,SIM,Hot,Para,10.88511541211558,0,0,1.043623538719526,0,0.7316425940580653,0,1.043623538719526,19,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,12,3
1484,0,0,0,0,11,0,Sp1,Hot Para,0,0,12,0,3,0,4.3830162951613,SIM,PAN,Hot,Para,11.383016295161301,0,0,0.6566645307847337,0,1.1218030648869906,0,1.1218030648869906,11,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,3,12
1484,0,0,22,0,0,0,Sp2,Hot Para,0,0,12,0,3,0,3.88511541211558,PAN,SIM,Hot,Para,10.88511541211558,0,0,1.0577050019661216,0,0.7316425940580653,0,1.0577050019661216,22,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,12,3
1485,0,0,0,0,21,0,Sp1,Hot Para,0,0,12,0,3,0,4.3830162951613,SIM,PAN,Hot,Para,11.383016295161301,0,0,0.6566645307847337,0,1.1869249570466207,0,1.1869249570466207,21,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,3,12
1485,0,0,18.5,0,0,0,Sp2,Hot Para,0,0,12,0,3,0,3.88511541211558,PAN,SIM,Hot,Para,10.88511541211558,0,0,1.0410833506714459,0,0.7316425940580653,0,1.0410833506714459,18.5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,12,3
1488,0,0,0,0,19.5,0,Sp1,Hot Para,0,0,12,0,3,0,4.3830162951613,SIM,PAN,Hot,Para,11.383016295161301,0,0,0.6566645307847337,0,1.1792604629098042,0,1.1792604629098042,19.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,3,12
1488,0,0,15,0,0,0,Sp2,Hot Para,0,0,12,0,3,0,3.88511541211558,PAN,SIM,Hot,Para,10.88511541211558,0,0,1.0213347025969248,0,0.7316425940580653,0,1.0213347025969248,15,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,12,3
1495,0,0,0,0,27.5,0,Sp1,Hot Para,0,0,3,0,6,0,3.7531447473555763,SIM,PAN,Hot,Para,10.753144747355577,0,0,0.7288422767477899,0,1.1524812309045303,0,1.1524812309045303,27.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,6,3
1495,0,0,12,0,0,0,Sp2,Hot Para,0,0,3,0,6,0,3.468772194572344,PAN,SIM,Hot,Para,10.468772194572344,0,0,1.142495136592536,0,0.6763120202862047,0,1.142495136592536,12,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,6
1496,0,0,0,0,16.5,0,Sp1,Hot Para,0,0,3,0,6,0,3.7531447473555763,SIM,PAN,Hot,Para,10.753144747355577,0,0,0.7288422767477899,0,1.0992595333208035,0,1.0992595333208035,16.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,6,3
1496,0,0,13.5,0,0,0,Sp2,Hot Para,0,0,3,0,6,0,3.468772194572344,PAN,SIM,Hot,Para,10.468772194572344,0,0,1.1553204185378152,0,0.6763120202862047,0,1.1553204185378152,13.5,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,6
1497,0,0,0,0,26.5,0,Sp1,Hot Para,0,0,3,0,6,0,3.7531447473555763,SIM,PAN,Hot,Para,10.753144747355577,0,0,0.7288422767477899,0,1.1485327200731368,0,1.1485327200731368,26.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,6,3
1497,0,0,2,0,0,0,Sp2,Hot Para,0,0,3,0,6,0,3.468772194572344,PAN,SIM,Hot,Para,10.468772194572344,0,0,0.9665034892254789,0,0.6763120202862047,0,0.9665034892254789,2,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,6
1500,0,0,0,0,14,0,Sp1,Hot Para,0,0,3,0,6,0,3.7531447473555763,SIM,PAN,Hot,Para,10.753144747355577,0,0,0.7288422767477899,0,1.0826992749262137,0,1.0826992749262137,14,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,6,3
1500,0,0,1,0,0,0,Sp2,Hot Para,0,0,3,0,6,0,3.468772194572344,PAN,SIM,Hot,Para,10.468772194572344,0,0,0.9086115533368586,0,0.6763120202862047,0,0.9086115533368586,1,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3,5,3,6
1507,0,0,0,0,17.5,0,Sp1,Hot Para,0,0,3,0,9,0,4.068080521258439,SIM,PAN,Hot,Para,11.06808052125844,0,0,0.7354315177546435,0,1.0624689098721838,0,1.0624689098721838,17.5,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,9,3
