tubeID,BIR_Nt,PAL_Nt,PAN_Nt,PSA_Nt,SIM_Nt,SUL_Nt,Type,BIR_0,PAL_0,PAN_0,PSA_0,SIM_0,SUL_0,FocalSpecies,OtherSp,Parasitism,ObsCount_Pairs,i,j,FocalSpeciesStartDens,OtherSpeciesStartDens
848,0,11.5,0,0,0,0,Sp1,0,3,0,0,6,0,PAL,SIM,Para,11.5,2,5,3,6
848,0,0,0,0,20,0,Sp2,0,3,0,0,6,0,SIM,PAL,Para,20,5,2,6,3
849,0,22,0,0,0,0,Sp1,0,3,0,0,6,0,PAL,SIM,Para,22,2,5,3,6
849,0,0,0,0,42.5,0,Sp2,0,3,0,0,6,0,SIM,PAL,Para,42.5,5,2,6,3
859,0,4.5,0,0,0,0,Sp1,0,3,0,0,9,0,PAL,SIM,Para,4.5,2,5,3,9
859,0,0,0,0,33,0,Sp2,0,3,0,0,9,0,SIM,PAL,Para,33,5,2,9,3
860,0,9.5,0,0,0,0,Sp1,0,3,0,0,9,0,PAL,SIM,Para,9.5,2,5,3,9
860,0,0,0,0,27,0,Sp2,0,3,0,0,9,0,SIM,PAL,Para,27,5,2,9,3
861,0,13.5,0,0,0,0,Sp1,0,3,0,0,9,0,PAL,SIM,Para,13.5,2,5,3,9
861,0,0,0,0,39.5,0,Sp2,0,3,0,0,9,0,SIM,PAL,Para,39.5,5,2,9,3
871,0,10.5,0,0,0,0,Sp1,0,3,0,0,12,0,PAL,SIM,Para,10.5,2,5,3,12
871,0,0,0,0,31.5,0,Sp2,0,3,0,0,12,0,SIM,PAL,Para,31.5,5,2,12,3
872,0,17.5,0,0,0,0,Sp1,0,3,0,0,12,0,PAL,SIM,Para,17.5,2,5,3,12
872,0,0,0,0,31.5,0,Sp2,0,3,0,0,12,0,SIM,PAL,Para,31.5,5,2,12,3
873,0,10,0,0,0,0,Sp1,0,3,0,0,12,0,PAL,SIM,Para,10,2,5,3,12
873,0,0,0,0,69.5,0,Sp2,0,3,0,0,12,0,SIM,PAL,Para,69.5,5,2,12,3
883,0,16,0,0,0,0,Sp1,0,6,0,0,3,0,PAL,SIM,Para,16,2,5,6,3
883,0,0,0,0,9,0,Sp2,0,6,0,0,3,0,SIM,PAL,Para,9,5,2,3,6
884,0,9.5,0,0,0,0,Sp1,0,6,0,0,3,0,PAL,SIM,Para,9.5,2,5,6,3
884,0,0,0,0,13,0,Sp2,0,6,0,0,3,0,SIM,PAL,Para,13,5,2,3,6
885,0,24.5,0,0,0,0,Sp1,0,6,0,0,3,0,PAL,SIM,Para,24.5,2,5,6,3
885,0,0,0,0,21.5,0,Sp2,0,6,0,0,3,0,SIM,PAL,Para,21.5,5,2,3,6
895,0,25.5,0,0,0,0,Sp1,0,9,0,0,3,0,PAL,SIM,Para,25.5,2,5,9,3
895,0,0,0,0,8.5,0,Sp2,0,9,0,0,3,0,SIM,PAL,Para,8.5,5,2,3,9
896,0,19.5,0,0,0,0,Sp1,0,9,0,0,3,0,PAL,SIM,Para,19.5,2,5,9,3
896,0,0,0,0,13.5,0,Sp2,0,9,0,0,3,0,SIM,PAL,Para,13.5,5,2,3,9
897,0,34,0,0,0,0,Sp1,0,9,0,0,3,0,PAL,SIM,Para,34,2,5,9,3
897,0,0,0,0,12,0,Sp2,0,9,0,0,3,0,SIM,PAL,Para,12,5,2,3,9
907,0,27.5,0,0,0,0,Sp1,0,12,0,0,3,0,PAL,SIM,Para,27.5,2,5,12,3
907,0,0,0,0,8,0,Sp2,0,12,0,0,3,0,SIM,PAL,Para,8,5,2,3,12
908,0,10,0,0,0,0,Sp1,0,12,0,0,3,0,PAL,SIM,Para,10,2,5,12,3
908,0,0,0,0,9,0,Sp2,0,12,0,0,3,0,SIM,PAL,Para,9,5,2,3,12
909,0,47.5,0,0,0,0,Sp1,0,12,0,0,3,0,PAL,SIM,Para,47.5,2,5,12,3
909,0,0,0,0,25.5,0,Sp2,0,12,0,0,3,0,SIM,PAL,Para,25.5,5,2,3,12
919,0,24,0,0,0,0,Sp1,0,3,0,0,0,3,PAL,SUL,Para,24,2,6,3,3
919,0,0,0,0,0,5,Sp2,0,3,0,0,0,3,SUL,PAL,Para,5,6,2,3,3
920,0,17,0,0,0,0,Sp1,0,3,0,0,0,3,PAL,SUL,Para,17,2,6,3,3
